post_id,message,likes,comments,shares,reach,created_time
IG1,"🔥 Internship opportunity alert",820,120,60,18000,2026-03-01 10:00:00
IG2,"Day in the life of a software intern",760,98,55,17000,2026-03-02 10:00:00
IG3,"Top coding tips for beginners",900,140,80,20000,2026-03-03 10:00:00
IG4,"AI tools you must try in 2026",870,110,65,19500,2026-03-04 10:00:00
IG5,"Student achievements at Internee.pk",950,160,90,22000,2026-03-05 10:00:00
IG6,"Work from home internship setup",700,85,45,16000,2026-03-06 10:00:00
IG7,"Best programming languages to learn",880,130,75,21000,2026-03-07 10:00:00
IG8,"Coding motivation for beginners",650,90,40,15000,2026-03-08 10:00:00
IG9,"Web development roadmap 2026",920,150,85,23000,2026-03-09 10:00:00
IG10,"Follow your tech career dreams",780,100,50,17500,2026-03-10 10:00:00
