post_id,message,likes,comments,shares,reach,created_time
LI1,"Professional internship opportunities at Internee.pk",450,80,35,14000,2026-03-01 10:00:00
LI2,"Career guidance for fresh graduates in tech",520,95,40,15500,2026-03-02 10:00:00
LI3,"How internships build real-world experience",610,110,60,17000,2026-03-03 10:00:00
LI4,"Future of AI jobs and industry insights",700,130,75,19000,2026-03-04 10:00:00
LI5,"Remote work trends in software industry",640,105,55,16500,2026-03-05 10:00:00
LI6,"Building a strong developer portfolio",580,90,45,15000,2026-03-06 10:00:00
LI7,"Top hiring skills in 2026 tech market",720,140,80,20000,2026-03-07 10:00:00
LI8,"Why internships matter for career growth",600,100,50,16000,2026-03-08 10:00:00
LI9,"Tech networking tips for professionals",680,115,65,18000,2026-03-09 10:00:00
LI10,"Building your first tech career step-by-step",750,150,85,21000,2026-03-10 10:00:00
