post_id,message,likes,comments,shares,reach,created_time
FB1,"Internship applications now open at Internee.pk",520,64,18,12000,2026-03-01 10:00:00
FB2,"Top 5 skills every developer needs in 2026",430,52,25,11000,2026-03-02 10:00:00
FB3,"Student success story from intern to developer",610,88,40,15000,2026-03-03 10:00:00
FB4,"Free AI tools for students and developers",390,45,20,9800,2026-03-04 10:00:00
FB5,"Weekly tech update: AI, Cloud, Python trends",455,60,22,10500,2026-03-05 10:00:00
FB6,"How to prepare for software engineering interviews",500,70,30,13000,2026-03-06 10:00:00
FB7,"Remote internship opportunities now available",470,55,28,12500,2026-03-07 10:00:00
FB8,"Top programming mistakes beginners make",320,40,15,9000,2026-03-08 10:00:00
FB9,"Live webinar: Career growth in tech",580,95,50,16000,2026-03-09 10:00:00
FB10,"Why learning data science in 2026 matters",610,80,35,15500,2026-03-10 10:00:00
